"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093721","1939-07","39.17329","-76.68408","42.0","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","","","","","","","","","","","","","197.3",",X","13",",X","7",",X","0",",X","0",",Z","0",",Z","0",",X","0",",X","0",",X","31",",X","6",",X","","","","","","","15.0",",X,03,","0",",,Z,31,+","0",",,Z,31,+","23.1",",,X,14,","35.6",",X,10,","0.0","X","0.0",",X","66.0",",,,X","","","","","","","","","0",",,,Z","24.70",",X","29.72",",,,X","19.68",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093721","1939-08","39.17329","-76.68408","42.0","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","","","","","","","","","","","","","240.4",",X","10",",X","4",",X","1",",X","0",",Z","0",",Z","0",",X","0",",X","0",",X","31",",X","13",",X","","","","","","","17.2",",X,29,+","0",",,Z,31,+","0",",,Z,31,+","58.2",",,X,19,","36.7",",X,09,","0.0","X","0.0",",X","90.0",",,,X","","","","","","","","","0",",,,Z","26.09",",X","31.10",",,,X","21.07",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093721","1939-09","39.17329","-76.68408","42.0","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","","","","","","","","","","","","","94.5",",X","8",",X","4",",X","3",",X","0",",Z","0",",Z","0",",X","0",",X","0",",X","26",",X","1",",X","","","","","","","8.9",",X,18,","0",",,Z,30,+","0",",,Z,30,+","31.0",",,X,30,+","37.8",",X,08,","11.4","X","11.4",",X","100.2",",,,X","","","","","","","","","0",",,,Z","21.10",",X","26.43",",,,X","15.78",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093721","1939-10","39.17329","-76.68408","42.0","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","","","","","","","","","","","","","21.9",",X","7",",X","7",",X","2",",X","0",",Z","0",",Z","0",",X","2",",X","0",",X","14",",X","2",",X","","","","","","","-0.6",",X,30,","0",",,Z,31,+","0",",,Z,31,+","45.2",",,X,02,","33.9",",X,10,","158.1","X","146.7",",X","111.0",",,,X","","","","","","","","","0",",,,Z","14.31",",X","20.12",",,,X","8.49",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093721","1939-11","39.17329","-76.68408","42.0","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","","","","","","","","","","","","","0.0","2,X","5",",X","2",",X","0",",X","0",",Z","0",",Z","0","1,X","8","1,X","0","1,X","2","1,X","0","1,X","","","","","","","-2.2","1,X,16,","0",",,Z,30,+","0",",,Z,30,+","17.3",",,X,05,","22.8","1,X,18,","464.6","X","306.5","1,X","23.7",",,,X","","","","","","","","","0",",,,Z","7.46","2,X","12.96","1,,,X","1.96","1,,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093721","1939-12","39.17329","-76.68408","42.0","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","","","","","","","","","","","","","0.0",",X","11",",X","6",",X","0",",X","4","2,Z","0","1,Z","0",",X","15",",X","3",",X","0",",X","0",",X","","","","","","","-11.7",",X,31,+","102","2,,X,28,","0","1,,Z,31,+","13.7",",,X,20,","19.4",",X,10,","921.6","X","457.0",",X","46.3",",,,X","","","","","","","","","0","1,,,Z","3.59",",X","7.76",",,,X","-0.57",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093721","1940-01","39.17329","-76.68408","42.0","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","","","","","","","","","","","0.0","X","0.0",",X","8",",X","4",",X","0",",X","14","4,Z","0","2,Z","0",",X","30",",X","18",",X","0",",X","0",",X","","","","","","","-15.0",",X,30,","102","4,,X,26,+","0","2,,Z,31,+","24.9",",,X,14,","10.6",",X,14,","1623.5","X","701.9",",X","44.8",",,,X","","","","","","","","","0","2,,,Z","-4.31",",X","-0.20",",,,X","-8.42",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093721","1940-02","39.17329","-76.68408","42.0","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","","","","","","","","","","","0.0","X","0.0",",X","8",",X","7",",X","0",",X","4","2,Z","0","1,Z","0",",X","23",",X","1",",X","0",",X","0",",X","","","","","","","-7.8",",X,26,+","25","2,,X,28,+","0","1,,Z,29,+","22.6",",,X,14,","13.3",",X,12,","2108.8","X","485.3",",X","86.8",",,,X","","","","","","","","","0","1,,,Z","1.60",",X","5.73",",,,X","-2.53",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093721","1940-03","39.17329","-76.68408","42.0","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","","","","","","","","","","","0.0","X","0.0",",X","11",",X","5",",X","1",",X","0",",Z","0",",Z","0",",X","17",",X","0",",X","0",",X","0",",X","","","","","","","-7.8",",X,12,","0",",,X,31,+","0",",,Z,31,+","51.8",",,X,14,","19.4",",X,31,","2549.4","X","440.6",",X","99.0",",,,X","","","","","","","","","0",",,,Z","4.12",",X","8.71",",,,X","-0.46",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093721","1940-04","39.17329","-76.68408","42.0","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","","","","","","","","","","","0.0","X","0.0",",X","11",",X","7",",X","2",",X","0",",Z","0",",Z","0",",X","3",",X","0",",X","1",",X","0",",X","","","","","","","-2.2",",X,13,","0",",,X,30,+","0",",,Z,30,+","55.6",",,X,08,","23.9",",X,30,","2817.1","X","267.7",",X","165.0",",,,X","","","","","","","","","0",",,,Z","9.41",",X","14.47",",,,X","4.35",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00093721","1940-05","39.17329","-76.68408","42.0","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","","","","","","","","","","","31.8","X","31.8",",X","16",",X","11",",X","1",",X","0",",Z","0",",Z","0",",X","0",",X","0",",X","20",",X","1",",X","","","","","","","6.1",",X,12,","0",",,X,31,+","0",",,Z,31,+","29.7",",,X,20,","33.9",",X,14,","2879.3","X","62.2",",X","108.9",",,,X","","","","","","","","","0",",,,Z","17.35",",X","22.61",",,,X","12.09",",,,X","","","","","","","","","","","","","","","","","","","","","",""
